Station_Name,Station_Description,Geographic_Description,Latitude,Longitude,Notes,Station_Number,CDEC_Name
Liberty Cut,Liberty Cut at USGS Piling,Cache Slough,38.32885,-121.66753,,B9D81971401,
Liberty Island,LIBE,Liberty Island,NA,NA,,NA,
Lindsey Slough,Lindsey Slough at Hastings Island Bridge,Cache Slough,38.246667,-121.701667,,B9D81481421,
Lindsey Slough,LIND,Lindsey Slough was sampled as a potential reference for projects in the Cache Slough Complex but is no longer sampled. It is a CDFW restoration project that was completed in 2014,NA,NA,,NA,
LIS,Yolo Bypass Toe Drain Below Lisbon Weir,"River left downstream of Lisbon Weir in the  Toe Drain, same location as similarly named CDEC station",38.47482,-121.58858,Sampling locations vary between programs,B9D82851352,LIS
Lookout Slough,LOOK,Restoration project in Cache Slough Complex. Completed in 2024.,NA,NA,,NA,
Lower Yolo Ranch,LOWE,"Restoration project in the Cache Slough Complex, North Delta. Construction was completed in August 2020.",NA,NA,,NA,
LSZ2,Low Salinity Zone - 2000 uS/cm bottom specific conductance,Low Salinity Zone,NA,NA,,NA,
LSZ2-SJR,Low Salinity Zone in San Joaquin River - 2000 uS/cm bottom specific conductance,Low Salinity Zone,NA,NA,,NA,
LSZ6,Low Salinity Zone - 6000 uS/cm bottom specific conductance,Low Salinity Zone,NA,NA,,NA,
LSZ6-SJR,Low Salinity Zone in San Joaquin River - 6000 uS/cm bottom specific conductance,Low Salinity Zone,NA,NA,,NA,
M1 Lift Station,,"Storm Water Pump Station, Lathrop",37.8141,-121.3123,,B0D74881187,
M2 Lift Station,,"Storm Water Pump Station, Lathrop",37.8027,-121.3115,,B0D74821187,
M3 Lift Station,,"Storm Water Pump Station, Lathrop",37.805,-121.3012,,B9D74831181,
M5 Lift Station,,"Storm Water Pump Station, Lathrop",37.8034,-121.3017,,B0D74821181,
M6 Lift Station,,"Storm Water Pump Station, Lathrop",37.7965,-121.3085,,B0D74781185,
MD10A,Disapointment Slough at Bishop Cut,Central Delta,38.04208,-121.422196,,B9S80251252,
MHO,Middle River at Howard Road,tidal river channel; land access,37.876184,-121.383288,,B9D75261230,MHO
Miner at HWY84,Miner Slough at Highway 84 Bridge,"North Delta, Cache Slough",38.291658,-121.630842,,B9D81751379,
Miner below P,Miner Slough below Prospect Island,Cache Slough,38.235111,-121.665964,,B9D81410400,
Miner Slough,MINE,Adjacent water body for Prospect Island restoration project.,NA,NA,,NA,
MIR,Miner Slough near Sacramento River,tidal river channel; boat access,38.2360319,-121.6660681,,B9S81421400,MIR
Mokelumne River at Benson's Ferry,,North Delta,38.255289,-121.439967,,B9D81531264,
Montezuma,MONTE,This is the section of the Montezuma Slough that is outside of Nurse-Denverton.,NA,NA,,NA,
MRIVTRACY,Middle R @ Tracy Rd Bdg,South Delta,37.8813,-121.4566,,B9D75291273,
MRU,Middle River at Undine Road,tidal river channel; land access,37.8339408,-121.3857561,,B9D75011230,MRU
MRX,Middle River near Tracy Road,tidal river channel; land access,37.881425,-121.467399,,B9D75291280,MRX
NEMDEC,Natomas East Main Drainage Canal at El Camino Road,Sacramento,38.611164,-121.467411,,A0V83671280,
Nurse-Denverton,NURS,Adjacent water body for Arnold Slough and Bradmoor Island restoration projects.,NA,NA,,NA,
NZ002,Carquinez Strait near Glencove Harbor,Carquinez Strait,38.06529,-122.2152,,E0E80392129,
NZ004,Carquinez Strait near Ozol Pier,Carquinez Strait,38.03576,-122.1616,,E0E80212097,
NZ032,"Montezuma Slough, second bend from mouth",Suisun Marsh,38.171063,-122.020467,,E3S81022013,
NZ068,Sacramento River below Rio Vista Bridge near United States Coast Guard station,North Delta,38.142716,-121.68948,,B9D80861414,
NZ325,San Pablo Bay near Mare Island,San Pablo Bay,38.057409,-122.289997,,E3B80352175,
NZS42,Suisun Slough at Volanti Slough,Suisun Marsh,38.1808,-122.049008,,E3S81082029,VOL
ODM,Old River above DMC Barrier,tidal river channel; boat access,37.81025,-121.542194,,B9536600,ODM
OH1,Old River near Head ,tidal river channel; boat access,37.807595,-121.331218,,B9D74921216,OH1
Old River Downstream DMC Barrier,Old River Downstream DMC Barrier,South Delta,37.810972,-121.544417,,B9536500,
O'Neill FB Outlet (Check 13),"CA Aqueduct, Ck 13, O'Neill Outlet",Aqueduct - SLFD - WQ station,37.0742,-121.0151,,KA007089,
ORM,Old River Upstream of Mountain House Creek,tidal river channel; boat access,37.7938408,-121.5173813,,B9537000,ORM
ORX,Old River near Doughty Cut - ORX,tidal river channel; boat access,37.8109972,-121.386575,,B9D74871232,ORX
OSJ,Old River near Frank's Tract,tidal river channel; boat access,38.071247,-121.578382,,B9D80431347,OSJ
P10A,Middle River at Union Point,South Delta,37.890778,-121.488361,,B9D75351292,MUP
P8,San Joaquin River at Buckley Cove,South Delta,37.978248,-121.38232,,B9D75871229,
Pacheco Pumping Plant,Pacheco Pumping Plant,San Luis Reservoir - WQ station,37.0619,-121.1806,,SL000000,
PDUP,Paradise Cut Upstream,tidal river channel; land access,37.801027,-121.373089,,B9D74811224,PDU
Peytonia-Suisun,PEYT,Adjacent water body for Wings Landing restoration project.,NA,NA,,NA,
Prospect Island,PROS,Planned restoration project in Cache Slough Complex.,NA,NA,,NA,
PRS,Prospect Slough,North Delta,38.255839,-121.671797,,B9B81541403,
Putah Creek at Mace,Putah Creek at Mace Blvd,Yolo Bypass,38.5183,-121.6958,,B9D83141418,
Pyramid Lake - Chumash Is.,PYRAMID LAKE NORTH OF CHUMASH ISLAND,Pyramid Lake - Near island,34.6553,-118.7692,,PY005000,
Pyramid Lake - Inlet,PYRAMID LK A PROJECT INLET,Pyramid Lake - Near no wake buoys,34.6768,-118.7834,,PY003000,
Pyramid Lake - Outlet,PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid Lake - Near buoy line,34.6449,-118.767,,PY001000,
Pyramid Lake - Serrano,Pyramid @ Serrano,Pyramid Lake - Off of day use area beach,34.655,-118.7599,,PY008000,
Pyramid Lake - Yellowbar,Pyramid Lake near Yellowbar,Pyramid Lake - Off of day use area beach,34.6617,-118.7989,,PY011000,
Ridge Cut Slough,Ridge Cut Slough at Knights Landing,"Ridge Cut Slough at Hwy. 113, Land, Upstream",38.79357,-121.725447,,A0D84761435,
River Station,,Lathrop,37.8047,-121.3123,,B0D74831187,
RMB - Rominger,Rominger Bridge at Colusa Basin Drain,Above Knights Landing Outflow Gates,38.81221,-121.77425,Not sampled in all years,A0C85051515,
Rock Slough at Delta Road Bridge,Rock Slough at Delta Road Bridge,Central Delta,37.9768,-121.6201,,B9D75861372,DRB
Rock Slough at Fish Screens,Contra Costa Canal at Rock Slough Fish Screen,Central Delta,37.977058,-121.642189,This site replaces Rock Slough @ Delta Road Bridge (B9D75861372),B9C75861385,
RSCC,Rock Slough @ Contra Costa WD Fish Screen,tidal river channel; boat or land access,37.976192,-121.639803,,B9522200,
Rush Ranch,RUSH,Reference for Wings Landing restoration project. Part of the San Francisco Bay National Estuarine Research Reserve.,NA,NA,,NA,
RVB - Rio Vista,Sacramento River at Rio Vista (USGS),Sacramento,38.159722,-121.685833,,B9D80960412,
Ryer Island,RYER,Reference for Tule Red restoration project,NA,NA,,NA,
RYI - Cache Slough,Cache Slough at Ryer Island,Cache Slough,38.2128,-121.6692,,B9D81281402,
Sacramento River Upstream of the SRCWD,Sacramento River Upstream of the Sacramento Regional County Wastewater District Treatment Plant,Sacramento,38.4613,-121.5035,,B9D82771302,
San Joaquin River at Brandt Bridge,,"South Delta, Stockton, Lathrop",37.8646,-121.323,,B9D75191193,
San Joaquin River at Holt Road,,South Delta,37.9947,-121.4199,,B9D75971227,
San Joaquin River at Lathrop,,"South Delta, Lathrop",37.81,-121.323,,B7D74861194,
San Joaquin River at Sadler Oak Road,,"South Delta, Lathrop",37.7934,-121.3063,,B9D74761184,
San Joaquin River Upstream of Stockton Waste Water Treatment Plant,,"South Delta, Stockton",37.928731,-121.327768,,B9D75561197,
SDWC,Sacramento Deep Water Channel,"Sacramento Deep Water Shipping Channel, Cache Slough",38.269411,-121.662322,,B9D81621397,
SGA,Sugar Cut downstream of Tom Paine Slough,tidal river channel; boat access,37.79286,-121.421495,,B9D74761253,SGA
Shag Slough,SHAG,Adjacent water body for Lookout Slough restoration project.,NA,NA,,NA,
Shag Slough at Liberty Island Bridge,,Yolo Bypass,38.306528,-121.693278,,B9S81841416,
Sherman Island,SHER,Sherman Island in the Sacramento-San Joaquin Confluence,NA,NA,,NA,
SHR,Sacramento River at Sherwood Harbor ,River right in Sacramento River at Sherwood Harbor Marina & RV Park,38.53188,-121.528,,A0200000,
Silverwood Lake - Outlet,Silverwood Lk Outlet Tower (San Bernardino Tunnel),"Silverwood Lake - On lake, via boat",34.2803,-117.3299,,SI002000,
SOI,Sacramento River Downstream of Isleton,tidal river channel; boat access,38.175591,-121.656919,,B9D81051394,SOI
South Bay Aqueduct Farm Bridge at Wente I.T.O.,,South Bay Aqueduct,37.6543,-121.7066,,KB001360,
South Bay Aqueduct Mile Marker 15.93 at Farm Bridge,,South Bay Aqueduct,37.6547,-121.73517,,KB001593,
South Bay Aqueduct Mile Marker 4.55,,South Bay Aqueduct,37.747,-121.67527,,KB000455,
South Bay Aqueduct Mile Marker 7.61,,South Bay Aqueduct,37.7177,-121.69033,,KB000761,
South Bay Aqueduct Mile Marker 8.75 at Farm Bridge,,South Bay Aqueduct,37.7044,-121.70659,,KB000875,
South Tip of Liberty Island,,Cache Slough,38.24285,-121.6836,Also called Liberty at S End (B9D81450411),B9D81461410,
Stairsteps-Liberty Cut,STAI,Adjacent water body for Lower Yolo Ranch.,NA,NA,,NA,
Station 09,"Old River Near Byron, Near Highway 4 Bridge",South Delta,37.891,-121.5702,,B9D75351342,
Stockton Waste Water Treatment Plant Downstream of Outfall,,"South Delta, Stockton",37.9459,-121.341,,B9D75681205,
STTD,Screw Trap in  Toe Drain,Center of channel at base of Yolo Bypass tidal slough in the Toe Drain,38.35338,-121.643,,A0D82120386,
Suisun Bay,SUIS,Suisun Bay near Ryer Island,NA,NA,,NA,
Sutter Bypass at Kirkville Road,,Upstream Sacramento River Valley,38.909178,-121.638556,,A0491630,
SXS,Steamboat Slough,tidal river channel; boat access,38.1912721,-121.6378941,,B9S81131386,SXS
Teerink Pumping Plant,Teerink Pumping Plant,Aqueduct - SJFD - Water quality station,35.0319,-119.0076,,KA027813,
Thermalito Afterbay Outlet,THERMALITO AFTERBAY A FEATHER R,Thermalito Afterbay - Between the radial gates and the weir,39.4562,-121.637,,TA001000,
Toe Drain,TOED,Adjacent water body for Yolo Flyway Farms,NA,NA,,NA,
Toe Drain at Rd. 22,Toe Drain at Rd. 22 West,Yolo Bypass,38.676385,-121.644315,,A0D84061386,
Toe Drain@ I-80,Toe Drain at Interstate 80,Yolo Bypass,38.573111,-121.582958,,A0D83441350,
TPI,Tom Paine Slough above Intake,tidal river channel; land access,37.790088,-121.41845,,B9542100,TPI
TSL,Three Mile Slough at San Joaquin River,tidal river channel; boat access,38.103248,-121.686169,,B9D80621412,TSL
Tule Red,TULE,Restoration project in Suisun Slough. Construction was completed in October 2019.,NA,NA,,NA,
Tule Red_Adjacent,NA,Ponded wetland adjacent to Tule Red restoration project. Sampled before restoration.,NA,NA,,NA,
TWA,Old River at Tracy Wildlife Association,tidal river channel; land access,37.802833,-121.457444,,B9D74821274,TWA
Upper Cache Slough,,Cache Slough,38.282581,-121.766528,,B9D81701460,
VCU,Victoria Canal near Byron,tidal canal; boat access,37.870944,-121.53,,B9D75231318,VCU
Webb Tract Islands and Berms,WEBB,"Reference for Decker Island restoration project. A remnant marsh northeast of Webb Tract. Was incorrectly spelled in EDI2021 data as ""Webb Tract Island and Berm"".",NA,NA,,NA,
West Sac Intake,Sacramento River at West Sacramento Intake Structure,Sacramento,38.598,-121.5494,,A0210451,
Westin Boat Dock,Sacramento River at Westin Boat Dock,Sacramento,38.536656,-121.516619,,B9D83221310,
Wildlands,Wildlands Restoration Site,Cache Slough,38.335564,-121.671156,,B9D82011403,
Wimpy's,North Fork Mokelumne at Wimpy's Marina,North Delta,38.228,-121.49089,,B9D81371295,
Wings Landing,WING,Restoration project in west Suisun Marsh. Construction was completed in September 2020.,NA,NA,,NA,
Winter Island,WINT,Restoration project in the Sacramento-San Joaquin Confluence. Construction was completed in September 2019,NA,NA,,NA,
Woodland Wastewater,Woodland Wastewater Discharge at Toe Drain,Yolo Bypass,38.6816,-121.64577,Water sample collection for nutrients - Yolo Bypass Fall Study,A1030000,
Yolo Flyway Farms,FLYW,Restoration project in Cache Slough Complex. Construction was completed in September 2018,NA,NA,,NA,
