<<<<<<< HEAD
"MonthYear","Year","Month","Region","DissAmmonia","DissNitrate","DissNitrateNitrite","DissOrthophos","DON","TKN","TotPhos","Temperature","Salinity","Turbidity","DissolvedOxygen","Chlorophyll","pH","Microcystis","Sac_Inflow","SJR_Inflow","Total_Inflow","Clam_Turnover","Clam_Filtration","CorbiculaBiomass","PotamocorbulaBiomass"
"Apr-2014",2014,4,"North",0.213928571428571,1.904,0.442857142857143,0.143571428571429,0.666666666666667,0.8,0.214642857142857,17.8598460767058,0.32257749225947,31.6375238735557,8.05898876404494,3.70272715568543,8.14827813235065,NA,289100,53362,365255,NA,NA,NA,NA
"Apr-2014",2014,4,"SouthCentral",0.043,2.76666666666667,0.867,0.083,0.45,0.71,0.129,17.8523364450536,0.235758665348401,8.52223403123958,8.84754716981132,3.30694444444444,7.5976063148304,NA,289100,53362,365255,0.04,0.0433333333333333,0.623333333333333,0
"Apr-2014",2014,4,"Suisun Bay",0.1,NA,0.66,0.09,0.4,0.633333333333333,0.14,16.3528570992606,6.77261703251955,39.2319998703003,8.83333333333333,2.13,7.84707332312058,NA,289100,53362,365255,1.185,1.355,0,3.395
"Apr-2014",2014,4,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,17.3038461318383,2.0808298686863,45.4785712923322,7.75357142857143,6.66,7.58474101066346,NA,289100,53362,365255,NA,NA,NA,NA
"May-2014",2014,5,"Confluence",0.0585714285714286,2.75,0.597142857142857,0.0914285714285714,0.32,0.557142857142857,0.147142857142857,19.3567000768511,1.44028096756702,23.4887500378172,8.51432432432432,2.60249997913837,7.91345085270752,NA,178240,47566,254124,1.21866666666667,9.015415,16.8933333333333,0.4605
"May-2014",2014,5,"North",0.295925925925926,1.871135,0.413087,0.124814814814815,0.466666666666667,0.785185185185185,0.188518518518519,21.1093457387764,0.256658541164204,56.5706896644997,8.27125,4.12090896303003,7.90627401588846,NA,178240,47566,254124,3.57571428571429,22.1177142857143,54.4285714285714,0
"May-2014",2014,5,"SouthCentral",0.0286666666666667,1.641203,0.347333333333333,0.0733333333333333,0.355555555555556,0.52,0.11,20.0701031025016,0.201160535616656,9.17707314672014,8.08134615384615,7.11166666666667,7.61037569668518,NA,178240,47566,254124,1.26692307692308,6.81851230769231,18.7552307692308,0
"May-2014",2014,5,"Suisun Bay",0.0733333333333333,NA,0.54,0.08,0.4,0.6,0.156666666666667,19.075757633556,9.92572038096283,24.6373913043478,8.28333333333333,2.51833333333333,7.99235837026785,NA,178240,47566,254124,1.23,6.99886,0,3.957
"May-2014",2014,5,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,19.5363637230613,4.26732397756471,25.5636364329945,7.13846153846154,2.285,7.9,NA,178240,47566,254124,3.95166666666667,22.5675083333333,29.6266666666667,9.1
"Jun-2014",2014,6,"Confluence",0.0411111111111111,2.5,0.51,0.0788888888888889,0.257142857142857,0.455555555555556,0.127777777777778,21.691538469653,2.12526669542257,18.5725225820466,7.83106382978723,2.55842104886707,7.81217378494652,2,267000,9760,306854,1.68,2.64333333333333,24.5266666666667,0.0833333333333333
"Jun-2014",2014,6,"North",0.182592592592593,1.461754,0.334570037037037,0.103333333333333,0.433333333333333,0.704,0.17,22.7426212081168,0.193892272483459,60.9843373608667,8.32301587301587,4.12818167296323,7.73753894148292,1,267000,9760,306854,NA,NA,NA,NA
"Jun-2014",2014,6,"SouthCentral",0.0175088125,0.642909166666667,0.2232184375,0.080625,0.28,0.453333333333333,0.119375,23.9260317339683,0.31053292512253,6.89890908487366,7.52373134328358,4.34611111111111,7.7504612443937,3,267000,9760,306854,0.12,0.126666666666667,0.916666666666667,0
"Jun-2014",2014,6,"Suisun Bay",0.0533333333333333,NA,0.62,0.103333333333333,0.333333333333333,0.7,0.16,20.5975674953976,12.3830716084803,33.4740740740741,7.9,2.56833333333333,8,1,267000,9760,306854,1.61,1.96,0,4.905
"Jun-2014",2014,6,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,21.1560000152588,8.0524061606268,22.6357141767229,7.36923076923077,7.235,7.98858739286964,1,267000,9760,306854,NA,NA,NA,NA
"Jul-2014",2014,7,"Confluence",0.0289282,2.05,0.374,0.084,0.2625,0.43,0.124,22.4033035747296,1.87682781018293,25.7790653375474,8.38745762711864,3.27904761337099,7.76792259903071,2,283470,8718,321337,2.34,3.79,27.11,0.426666666666667
