"","Station Number","Sample Code","CollectionDate","Data Owner","Data Status","Collection Date","Analyte","CAS Reg Number","Lab Dup","Result","Rpt Limit","Units","Method","Depth","Matrix","Sample Type","Parent Sample","Description","Notes","Result Rejected"
"31","E381112008","EL0220B0128",2020-02-24 13:46:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:46","Total Phosphorus","7723-14-0",NA,"0.12","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"32","E381112008","EL0220B0128",2020-02-24 13:46:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:46","Total Kjeldahl Nitrogen","TKN",NA,"0.6","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"33","E381112008","EL0220B0128",2020-02-24 13:46:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:46","Dissolved ortho-Phosphate","14265-44-2",NA,"0.056","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"34","E381142005","EL0220B0126",2020-02-24 14:33:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 14:33","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.49","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"35","E381142005","EL0220B0126",2020-02-24 14:33:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 14:33","Total Phosphorus","7723-14-0",NA,"0.111","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"36","E381142005","EL0220B0126",2020-02-24 14:33:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 14:33","Total Kjeldahl Nitrogen","TKN",NA,"0.6","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"37","E381142005","EL0220B0126",2020-02-24 14:33:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 14:33","Dissolved ortho-Phosphate","14265-44-2",NA,"0.059","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"38","E381132007","EL0220B0127",2020-02-24 14:49:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 14:49","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.48","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"39","E381132007","EL0220B0127",2020-02-24 14:49:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 14:49","Total Phosphorus","7723-14-0",NA,"0.104","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"40","E381132007","EL0220B0127",2020-02-24 14:49:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 14:49","Total Kjeldahl Nitrogen","TKN",NA,"0.5","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"41","E381132007","EL0220B0127",2020-02-24 14:49:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 14:49","Dissolved ortho-Phosphate","14265-44-2",NA,"0.056","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"42","E380751331","EL0220B0124",2020-02-24 15:27:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 15:27","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.49","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"43","E380751331","EL0220B0124",2020-02-24 15:27:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 15:27","Total Phosphorus","7723-14-0",NA,"0.126","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"44","E380751331","EL0220B0124",2020-02-24 15:27:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 15:27","Total Kjeldahl Nitrogen","TKN",NA,"0.9","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"45","E380751331","EL0220B0124",2020-02-24 15:27:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 15:27","Dissolved ortho-Phosphate","14265-44-2",NA,"<0.05","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
