station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,county_name,sample_count,sample_date_min,sample_date_max
35565,19S24E06N001M,19S24E06N001M,19S24E06N001M,Groundwater,36.29860000,-119.42070000,Tulare,7,1966-03-02T09:25:00,1976-06-17T10:00:00
35566,19S24E12B001M,19S24E12B001M,19S24E12B001M,Groundwater,36.29520000,-119.32370000,Tulare,1,1989-06-01T00:00:00,1989-06-01T00:00:00
35567,19S24E12B002M,19S24E12B002M,19S24E12B002M,Groundwater,36.29520000,-119.32370000,Tulare,1,1989-06-01T00:00:00,1989-06-01T00:00:00
35568,19S24E15R001M,19S24E15R001M,19S24E15R001M,Groundwater,36.26990000,-119.35540000,Tulare,1,1956-09-06T12:50:00,1956-09-06T12:50:00
35569,19S24E22C001M,19S24E22C001M,19S24E22C001M,Groundwater,36.26860000,-119.36070000,Tulare,6,1957-02-12T08:00:00,1963-06-12T11:00:00
35570,19S24E25D001M,19S24E25D001M,19S24E25D001M,Groundwater,36.25330000,-119.33070000,Tulare,1,1956-09-02T12:05:00,1956-09-02T12:05:00
35571,19S24E36R001M,19S24E36R001M,19S24E36R001M,Groundwater,36.22940000,-119.31340000,Tulare,2,1956-09-02T10:50:00,1976-07-27T00:00:00
35572,19S25E01P001M,19S25E01P001M,19S25E01P001M,Groundwater,36.29830000,-119.22010000,Tulare,2,1978-06-21T10:40:00,1986-12-11T09:30:00
35573,19S25E05B001M,19S25E05B001M,19S25E05B001M,Groundwater,36.30970000,-119.28770000,Tulare,14,1960-09-08T00:00:00,1990-10-30T00:00:00
35574,19S25E05E001M,19S25E05E001M,19S25E05E001M,Groundwater,36.30610000,-119.29660000,Tulare,2,1961-11-06T15:45:00,1962-05-02T00:00:00
35575,19S25E05F001M,19S25E05F001M,19S25E05F001M,Groundwater,36.30610000,-119.29210000,Tulare,6,1961-10-18T10:30:00,1966-03-02T15:30:00
35576,19S25E05G001M,19S25E05G001M,19S25E05G001M,Groundwater,36.30830000,-119.28570000,Tulare,1,1961-10-31T00:00:00,1961-10-31T00:00:00
35577,19S25E05G002M,19S25E05G002M,19S25E05G002M,Groundwater,36.30610000,-119.28770000,Tulare,1,1961-10-31T11:00:00,1961-10-31T11:00:00
35578,19S25E05G003M,19S25E05G003M,19S25E05G003M,Groundwater,36.30610000,-119.28770000,Tulare,1,1961-10-31T11:00:00,1961-10-31T11:00:00
35579,19S25E06E001M,19S25E06E001M,19S25E06E001M,Groundwater,36.30610000,-119.31460000,Tulare,12,1973-08-21T00:00:00,1991-10-30T08:45:00
35580,19S25E06H001M,19S25E06H001M,19S25E06H001M,Groundwater,36.30610000,-119.30120000,Tulare,5,1966-03-02T14:20:00,1966-08-30T00:00:00
35581,19S25E06H002M,19S25E06H002M,19S25E06H002M,Groundwater,36.30610000,-119.30120000,Tulare,1,1966-11-14T00:00:00,1966-11-14T00:00:00
35582,19S25E06H003M,19S25E06H003M,19S25E06H003M,Groundwater,36.30610000,-119.30120000,Tulare,15,1976-04-01T00:00:00,1989-05-25T00:00:00
35583,19S25E06M001M,19S25E06M001M,19S25E06M001M,Groundwater,36.30250000,-119.31460000,Tulare,10,1973-02-25T00:00:00,1988-09-15T00:00:00
35584,19S25E07A001M,19S25E07A001M,19S25E07A001M,Groundwater,36.29520000,-119.30120000,Tulare,16,1972-01-04T00:00:00,1991-11-19T17:42:00
35585,19S25E07K001M,19S25E07K001M,19S25E07K001M,Groundwater,36.28770000,-119.30180000,Tulare,2,1951-07-18T00:00:00,1952-11-03T00:00:00
35586,19S25E07K002M,19S25E07K002M,19S25E07K002M,Groundwater,36.28770000,-119.30180000,Tulare,2,1951-07-18T00:00:00,1952-11-03T00:00:00
35587,19S25E07K003M,19S25E07K003M,19S25E07K003M,Groundwater,36.28770000,-119.30180000,Tulare,2,1951-07-18T00:00:00,1952-11-03T00:00:00
35588,19S25E11J001M,19S25E11J001M,19S25E11J001M,Groundwater,36.28800000,-119.22920000,Tulare,2,1968-05-03T00:00:00,1969-10-15T16:15:00
35589,19S25E12H001M,19S25E12H001M,19S25E12H001M,Groundwater,36.29160000,-119.21120000,Tulare,2,1956-08-14T00:00:00,1956-08-24T00:00:00
35590,19S25E17C002M,19S25E17C002M,19S25E17C002M,Groundwater,36.28070000,-119.29210000,Tulare,1,1959-04-15T13:10:00,1959-04-15T13:10:00
35591,19S25E17C003M,19S25E17C003M,19S25E17C003M,Groundwater,36.28070000,-119.29210000,Tulare,1,1959-04-16T14:30:00,1959-04-16T14:30:00
35592,19S25E17F001M,19S25E17F001M,19S25E17F001M,Groundwater,36.27710000,-119.29210000,Tulare,2,1959-04-15T14:00:00,1966-03-02T12:45:00
35593,19S25E18N001M,19S25E18N001M,19S25E18N001M,Groundwater,36.26990000,-119.31460000,Tulare,3,1982-06-08T11:00:00,1989-05-31T00:00:00
35594,19S25E19E002M,19S25E19E002M,19S25E19E002M,Groundwater,36.26250000,-119.31460000,Tulare,10,1974-10-07T00:00:00,1989-05-25T00:00:00
35595,19S25E19E003M,19S25E19E003M,19S25E19E003M,Groundwater,36.26250000,-119.31460000,Tulare,9,1975-04-17T00:00:00,1989-05-25T00:00:00
35596,19S25E22K002M,19S25E22K002M,19S25E22K002M,Groundwater,36.25890000,-119.25170000,Tulare,1,1956-09-02T15:40:00,1956-09-02T15:40:00
35597,19S25E22R001M,19S25E22R001M,19S25E22R001M,Groundwater,36.25530000,-119.24720000,Tulare,1,1979-08-22T00:00:00,1979-08-22T00:00:00
35598,19S25E25C001M,19S25E25C001M,19S25E25C001M,Groundwater,36.25160000,-119.22010000,Tulare,1,1956-09-02T13:00:00,1956-09-02T13:00:00
35599,19S25E31J002M,19S25E31J002M,19S25E31J002M,Groundwater,36.22990000,-119.30120000,Tulare,7,1958-08-07T08:45:00,1969-10-15T14:30:00
35600,19S26E01B001M,19S26E01B001M,19S26E01B001M,Groundwater,36.30970000,-119.10760000,Tulare,1,1987-01-23T13:00:00,1987-01-23T13:00:00
35601,19S26E02D001M,19S26E02D001M,19S26E02D001M,Groundwater,36.30970000,-119.13450000,Tulare,1,1987-01-13T09:45:00,1987-01-13T09:45:00
35602,19S26E02K001M,19S26E02K001M,19S26E02K001M,Groundwater,36.30250000,-119.12560000,Tulare,1,1960-03-25T00:00:00,1960-03-25T00:00:00
35603,19S26E02K002M,19S26E02K002M,19S26E02K002M,Groundwater,36.30250000,-119.12560000,Tulare,4,1960-04-07T00:00:00,1964-09-30T17:10:00
35604,19S26E02K003M,19S26E02K003M,19S26E02K003M,Groundwater,36.30250000,-119.12560000,Tulare,3,1960-05-11T00:00:00,1987-01-14T09:10:00
35605,19S26E02L001M,19S26E02L001M,19S26E02L001M,Groundwater,36.30250000,-119.13000000,Tulare,2,1960-04-07T00:00:00,1960-05-24T10:15:00
35606,19S26E02P001M,19S26E02P001M,19S26E02P001M,Groundwater,36.29890000,-119.13000000,Tulare,1,1960-05-24T10:00:00,1960-05-24T10:00:00
35607,19S26E02R001M,19S26E02R001M,19S26E02R001M,Groundwater,36.29890000,-119.12110000,Tulare,1,1960-05-12T00:00:00,1960-05-12T00:00:00
35608,19S26E03D002M,19S26E03D002M,19S26E03D002M,Groundwater,36.30970000,-119.15250000,Tulare,1,1987-01-13T10:35:00,1987-01-13T10:35:00
35609,19S26E03K001M,19S26E03K001M,19S26E03K001M,Groundwater,36.30250000,-119.14360000,Tulare,1,1948-07-12T00:00:00,1948-07-12T00:00:00
35610,19S26E03K002M,19S26E03K002M,19S26E03K002M,Groundwater,36.30250000,-119.14360000,Tulare,7,1957-02-13T10:30:00,1963-06-12T00:00:00
35611,19S26E04J001M,19S26E04J001M,19S26E04J001M,Groundwater,36.30440000,-119.15400000,Tulare,1,1946-03-18T00:00:00,1946-03-18T00:00:00
35612,19S26E05R001M,19S26E05R001M,19S26E05R001M,Groundwater,36.30050000,-119.17290000,Tulare,1,1956-09-02T14:15:00,1956-09-02T14:15:00
35613,19S26E06M002M,19S26E06M002M,19S26E06M002M,Groundwater,36.30250000,-119.20650000,Tulare,1,1956-11-01T00:00:00,1956-11-01T00:00:00
35614,19S26E06M003M,19S26E06M003M,19S26E06M003M,Groundwater,36.30250000,-119.20650000,Tulare,1,1956-08-14T00:00:00,1956-08-14T00:00:00
35615,19S26E06M004M,19S26E06M004M,19S26E06M004M,Groundwater,36.30250000,-119.20650000,Tulare,1,1972-03-09T00:00:00,1972-03-09T00:00:00
35616,19S26E08H001M,19S26E08H001M,19S26E08H001M,Groundwater,36.29160000,-119.17510000,Tulare,1,1956-09-04T08:50:00,1956-09-04T08:50:00
35617,19S26E10A001M,19S26E10A001M,19S26E10A001M,Groundwater,36.29520000,-119.13910000,Tulare,1,1960-05-24T11:00:00,1960-05-24T11:00:00
35618,19S26E11A001M,19S26E11A001M,19S26E11A001M,Groundwater,36.29520000,-119.12110000,Tulare,2,1945-03-30T00:00:00,1948-04-23T00:00:00
35619,19S26E11E001M,19S26E11E001M,19S26E11E001M,Groundwater,36.29160000,-119.13450000,Tulare,2,1960-04-28T16:30:00,1960-05-24T00:00:00
35620,19S26E11J001M,19S26E11J001M,19S26E11J001M,Groundwater,36.28800000,-119.12110000,Tulare,1,1987-01-23T15:30:00,1987-01-23T15:30:00
35621,19S26E13L001M,19S26E13L001M,19S26E13L001M,Groundwater,36.27350000,-119.11200000,Tulare,2,1947-04-17T00:00:00,1956-09-03T13:10:00
